Measure,Year,Level
North Atlantic,2009,21.972162162162164
North Atlantic,2010,1.6370270270270275
North Atlantic,2011,5.855945945945946
North Atlantic,2012,31.19108108108108
North Atlantic,2013,31.538571428571426
North Atlantic,2014,28.412777777777777
North Atlantic,2015,40.48567567567568
North Atlantic,2016,47.09918918918919
North Atlantic,2017,11.917142857142858
North Pacific,2008,50.36882352941176
North Pacific,2009,27.088378378378376
North Pacific,2010,20.93972972972973
North Pacific,2011,25.23972972972973
North Pacific,2012,36.14783783783784
North Pacific,2013,41.004285714285714
North Pacific,2014,46.346111111111114
North Pacific,2015,56.115405405405404
North Pacific,2016,53.39378378378378
North Pacific,2017,0.08857142857142865
North Sea,2008,33.87823529411765
North Sea,2009,2.868378378378379
North Sea,2010,5.554864864864865
North Sea,2011,33.468378378378375
North Sea,2012,10.003513513513514
North Sea,2013,22.555714285714284
North Sea,2014,17.765
North Sea,2015,57.692702702702704
North Sea,2016,54.43324324324324
North Sea,2017,43.69
Pacific Ocean,2008,20.771764705882354
Pacific Ocean,2009,22.392432432432432
Pacific Ocean,2010,19.03837837837838
Pacific Ocean,2011,19.53027027027027
Pacific Ocean,2012,31.40054054054054
Pacific Ocean,2013,33.09714285714286
Pacific Ocean,2014,40.11
Pacific Ocean,2015,50.170810810810806
Pacific Ocean,2016,52.89783783783784
Pacific Ocean,2017,50.74571428571428
Persian Gulf,2008,68.65941176470588
Persian Gulf,2009,24.86783783783784
Persian Gulf,2010,67.7354054054054
Persian Gulf,2011,43.035405405405406
Persian Gulf,2012,46.66513513513514
Persian Gulf,2013,53.041428571428575
Persian Gulf,2014,55.86888888888889
Persian Gulf,2015,96.04621621621622
Persian Gulf,2016,59.94388888888889
Persian Gulf,2017,47.17
Sea Japan,2008,54.71764705882353
Sea Japan,2009,21.083783783783783
Sea Japan,2010,32.502702702702706
Sea Japan,2011,15.400000000000002
Sea Japan,2012,44.32972972972973
Sea Japan,2013,34.09428571428571
Sea Japan,2014,48.99166666666667
Sea Japan,2015,31.908108108108106
Sea Japan,2016,75.96216216216216
Sea Japan,2017,21.400000000000002
Sea Okhotsk,2008,19.961176470588235
Sea Okhotsk,2009,4.8470270270270275
Sea Okhotsk,2010,14.111891891891892
Sea Okhotsk,2011,5.3470270270270275
Sea Okhotsk,2012,16.017297297297297
Sea Okhotsk,2013,17.89428571428571
Sea Okhotsk,2014,39.17277777777778
Sea Okhotsk,2015,54.233513513513515
Sea Okhotsk,2016,49.99027027027027
Sea Okhotsk,2017,47.06285714285714
South China,2008,82.74882352941177
South China,2009,48.37108108108108
South China,2010,61.719729729729735
South China,2011,50.03864864864865
South China,2012,65.81972972972973
South China,2013,75.49571428571429
South China,2014,42.08444444444444
South China,2015,28.74135135135135
South China,2016,43.14675675675676
South China,2017,59.22571428571428
Southern Ocean,2008,10.536470588235295
Southern Ocean,2009,23.978918918918918
Southern Ocean,2010,29.69243243243243
Southern Ocean,2011,30.643783783783782
Southern Ocean,2012,38.01405405405406
Southern Ocean,2013,40.49714285714286
Southern Ocean,2014,43.871111111111105
Southern Ocean,2015,53.39783783783784
Southern Ocean,2016,54.476216216216216
Southern Ocean,2017,74.48142857142857
Tropics,2008,27.779411764705884
Tropics,2009,27.022972972972973
Tropics,2010,29.533783783783782
Tropics,2011,27.244594594594595
Tropics,2012,37.36351351351352
Tropics,2013,39.004285714285714
Tropics,2014,41.650000000000006
Tropics,2015,50.40675675675676
Tropics,2016,53.93108108108108
Tropics,2017,52.19285714285714
World,2008,26.334117647058825
World,2009,25.321081081081083
World,2010,27.05891891891892
World,2011,26.05081081081081
World,2012,36.012972972972975
World,2013,38.38285714285715
World,2014,41.10944444444445
World,2015,49.89675675675676
World,2016,52.65081081081081
World,2017,50.14714285714285
Yellow Sea,2008,73.20705882352941
Yellow Sea,2009,17.338378378378376
Yellow Sea,2010,18.532972972972974
Yellow Sea,2011,2.843783783783783
Yellow Sea,2012,42.38972972972973
Yellow Sea,2013,31.78941176470588
Yellow Sea,2014,40.578918918918916
Yellow Sea,2015,33.0654054054054
Yellow Sea,2016,58.9238888888889
Yellow Sea,2017,-14.104285714285714
